CGS	;CGS
National High Technology Research and Development 863 Program of China	;National High Technology Research and Development 863 Program of China
research grant from the Israeli Cancer Association	;research grant from the Israeli Cancer Association
TxAIRE	;TxAIRE
HMV	;HMV Ingenieros Ltda Colombia
National Natural Science Foundation of P R  China	;National Natural Science Foundation of P R  China
NEDO	;New Energy and Industrial Technology Development Organization  NEDO  Japan
Azabu University	;Azabu University
CEMEE	;Open Project Foundation of CEMEE State Key Laboratory
Plan Nacional	;Plan Nacional
Memorial University of Newfoundland	;Memorial University of Newfoundland
ZEBET	;Centre for Documentation and Evaluation of Alternatives to Animal Experiments  ZEBET  of the Federal Instiute for Risk Assessment  BfR
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNPq	;Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNPq
UAT	;Autonomous University of Tamaulipas and the Engineer School at the UAT
Chongqing Natural Science Foundation	;Chongqing Natural Science Foundation
Isidro Parga Pondal program of the Xunta de Galicia	;Isidro Parga Pondal program of the Xunta de Galicia
Masdar Institute of Science and Technology	;Masdar Institute of Science and Technology
Taiwan Ministry of Science and Technology	;Taiwan Ministry of Science and Technology
Research Equipment Development Program of the Chinese Academy of Sciences	;Research Equipment Development Program of the Chinese Academy of Sciences
AIP	;AIP through the State of Brandenburg
Junta de Comunidades de Castilla-La mancha	;Junta de Comunidades de Castilla-La mancha
INTAS	;European INTAS project on  Algebraic and Deduction Methods in Non Classical Logics and their Applications to Computer Science
project Intrade	;project Intrade
King Abdulaziz University	;King Abdulaziz University
Ministry of Science and Technology of Serbia	;Ministry of Science and Technology of Serbia
AISRP	;Applied Information Systems Research Program  AISRP  of NASA Science Dierectorate
Disney Research	;Disney Research
Department of Information Technology Ministry of Communication and Information Technology Government of India	;Department of Information Technology Ministry of Communication and Information Technology Government of India
ENERGOS	;ENERGOS
Jiangsu Provincial Clinical Orthopedic Center	;Jiangsu Provincial Clinical Orthopedic Center
Aihara Project	;Aihara Project
Conselleria de Cultura Educacion e Ordenacion Universitaria	;Conselleria de Cultura Educacion e Ordenacion Universitaria
Research Foundation - Flanders	;Research Foundation - Flanders
COMBIOMED	;COMBIOMED
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico	;Conselho Nacional de Desenvolvimento Cientifico e Tecnologico
QUEST	;Quaid-e-Awam University of Engineering Science & Technology  QUEST  Nawabshah Pakistan
Young Researchers and Elites Club Science and Research Branch Islamic Azad University Tehran Iran	;Young Researchers and Elites Club Science and Research Branch Islamic Azad University Tehran Iran
PolyU	;PolyU
Ferrovial Servicios	;Ferrovial Servicios
-FNRS	;F R S -FNRS through FRFC
United States Geological Survey	;United States Geological Survey
CVC	;Corporacion Autonoma Regional del Valle del Cauca  CVC  Colombia
RITFIM	;RITFIM
European funds for the development of innovative economy  Fundusze Europejskie dla rozwoju innowacyjnej gospodarki	;European funds for the development of innovative economy  Fundusze Europejskie dla rozwoju innowacyjnej gospodarki
High Performance Computing and Communications office	;High Performance Computing and Communications office
Max Planck Society	;Max Planck Society
Natural Science Foundation of Digital Land Key Laboratory of Jiangxi Province	;Natural Science Foundation of Digital Land Key Laboratory of Jiangxi Province
Danish National Science Foundation	;Danish National Science Foundation
FPU	;FPU grant  Formacion de Profesorado Universitario  from the Spanish Ministry of Education Culture and Sports;FPU of the Spanish Ministry of Education Culture and Sports  Ministerio de Educacion Cultura y Deporte
National Program on Key Basic Research Project	;National Program on Key Basic Research Project
Ministry of Education China	;Ministry of Education China
Eidos Interactive Ltd	;Eidos Interactive Ltd
North Portugal Regional Operational Programme	;North Portugal Regional Operational Programme
MIT-Portugal Program	;MIT-Portugal Program
memorial funding program of the graduate school of economics Osaka University	;memorial funding program of the graduate school of economics Osaka University
Nicolaus Copernicus University in Torun Poland	;Nicolaus Copernicus University in Torun Poland
CIFAR	;CIFAR
FONACIT	;FONACIT;FONACIT Venezuela
AFRL	;AFRL Information Directorate
Universidad Autonoma de San Luis Potosi	;Universidad Autonoma de San Luis Potosi
Scientific Research Project of Selcuk University	;Scientific Research Project of Selcuk University
Astellas	;Astellas
ESCIF	;European Spinal Cord Injury Federation  ESCIF
Hong Kong government	;Hong Kong government
Graduate Research and the Ford Foundation Pre-Doctoral	;Graduate Research and the Ford Foundation Pre-Doctoral
NCRR	;NCRR NIH HHS
AUST	;Ahsanullah University of Science and Technology  AUST
Science Fund of Malaysian Ministry of Science Technology and Innovation	;Science Fund of Malaysian Ministry of Science Technology and Innovation
ITMS	;Center of Competence of knowledge technologies for product system innovation in the industry and service with ITMS project
Tecnologico de Monterrey Campus Estado de Mexico	;Tecnologico de Monterrey Campus Estado de Mexico
Royal Society University	;Royal Society University
Industrial Strategic Technology Development Program	;Industrial Strategic Technology Development Program
COMPETE	;COMPETE;COMPETE under FEDER Programme;ERDF-European Regional Development Fund through the COMPETE Programme  Operational Programme for Competitiveness
Hundred-talent Project of the Chinese Academy of Sciences	;Hundred-talent Project of the Chinese Academy of Sciences
bilateral program of scientific and technological cooperation	;bilateral program of scientific and technological cooperation
Broadcom Corporation	;Broadcom Corporation
Genentech	;Genentech
Brain Korea 21 plus program Yonsei University	;Brain Korea 21 plus program Yonsei University
Ministry of Education Culture Sports Science and Technology Japan	;Ministry of Education Culture Sports Science and Technology Japan
National Institutes of Health National Institute of Child Health and Human Development	;National Institutes of Health National Institute of Child Health and Human Development
Fundacion Carolina	;Fundacion Carolina
CNPq/MCT  an institute of the Brazilian goverment	;CNPq/MCT  an institute of the Brazilian goverment
National High-tech Research and Development Program  '863'  of China	;National High-tech Research and Development Program  '863'  of China
CATAI	;CATAI
Polish Ministry of Science	;Polish Ministry of Science
UNEP-WCMC	;UNEP-WCMC
National 863 High Technology Programs of China	;National 863 High Technology Programs of China
Graduate School of Natural and Applied Sciences at the Middle East Technical University Turkey	;Graduate School of Natural and Applied Sciences at the Middle East Technical University Turkey
Spanish  Ministerio de Educacion	;Spanish  Ministerio de Educacion
Hungarian Focal Point	;Hungarian Focal Point
FEDER	;EC FEDER grant;EU   FEDER;EU  FEDER;EU FEDER;European Commission FEDER funds;European FEDER;European Regional Development Fund of the European Commission  FEDER  project IDEATIO;European Regional Development Funds  FEDER;FEDER;FEDER - Eixo I of Programa Operacional Factores de Competitividade;FEDER  European Union;FEDER  under the ERDF Program;FEDER Funds through COMPETE program;FEDER Funds through the COMPETE programme;FEDER through COMPETE program;FEDER through the Operational Program Competitiveness Factors - COMPETE;Fondo de Desarrollo Regional  FEDER;Fondo Europeo de Desarrollo Regional  FEDER;Junta Castilla y Leon FEDER;Ministry of Science and Innovation and co-financed by FEDER
Universiti Teknologi Mara  UiTM  Malaysia	;Universiti Teknologi Mara  UiTM  Malaysia
PUCPR	;PUCPR  Pontifical Catholic University of Parana - Brazil
Russian Fund of Basic Research	;Russian Fund of Basic Research
Australian Research Council	;Australian Research Council
School of Mechanical Engineering the Shenyang University of Technology	;School of Mechanical Engineering the Shenyang University of Technology
Sogang University Research 2004	;Sogang University Research 2004
Planevo project	;Planevo project
Spanish government as one of the research centers belonging to the Spanish National Research Council	;Spanish government as one of the research centers belonging to the Spanish National Research Council
Leverhulme Trust	;Leverhulme Trust
ScottishPower Energy Networks	;ScottishPower Energy Networks
Russian government	;Russian government
Acerta	;Acerta
Lynn and William Frankel center for Computer Sciences	;Lynn and William Frankel center for Computer Sciences
Brazilian agency CNPq	;Brazilian agency CNPq
Social Science Project from Harbin Normal University	;Social Science Project from Harbin Normal University
Nicolas Correa S A	;Nicolas Correa S A
Colorado State University Energy Supercluster	;Colorado State University Energy Supercluster
Spanish Ministry of Economy and Competitiveness	;Spanish Ministry of Economy and Competitiveness
Natural Science Foundation of Jilin province of China	;Natural Science Foundation of Jilin province of China
C-FAR	;C-FAR one of the six SRC STARnet Centers - MARCO
Department of Accounting and Finance Monash University	;Department of Accounting and Finance Monash University
A I C T E   New Delhi India	;A I C T E   New Delhi India
University Grants Commission New Delhi India	;University Grants Commission New Delhi India
Opening Fund of the State Key Laboratory of Desert and Oasis Ecology Xinjiang Institute of Ecology and Geography Chinese Academy of Sciences	;Opening Fund of the State Key Laboratory of Desert and Oasis Ecology Xinjiang Institute of Ecology and Geography Chinese Academy of Sciences
Bulgarian Ministry of Education and Science	;Bulgarian Ministry of Education and Science
BPI-France	;BPI-France
NCI	;NCI NIH HHS
UMP	;Faculty of Electrical and Electronic Engineering Universiti Malaysia Pahang  UMP;Universiti Malaysia Pahang  UMP
National High-Tech Research and Development program of China  863 Program	;National High-Tech Research and Development program of China  863 Program
REMEDI	;charity REMEDI;REMEDI
CTU	;CTU in Prague;CTU in Prague Czech Republic
BMS	;BMS
King Fahd University of Petroleum Minerals	;King Fahd University of Petroleum Minerals
Fundacion Seneca	;Fundacion Seneca
German Federal Ministry of Education and Research	;German Federal Ministry of Education and Research
Ratchadapiseksompoj Funds Chulalongkorn University	;Ratchadapiseksompoj Funds Chulalongkorn University
U S  Department of Energy	;U S  Department of Energy
PETRONAS	;Universiti Teknologi PETRONAS  UTP  Malaysia
Research Grants Council of Hong Kong under the General Research Fund	;Research Grants Council of Hong Kong under the General Research Fund
The National High Technology Research and Development Program of China	;The National High Technology Research and Development Program of China
Interuniversity Attraction Poles Program  Belgian Science Policy  Project Photonics@be	;Interuniversity Attraction Poles Program  Belgian Science Policy  Project Photonics@be
Doctoral College on Computational Perception of the Vienna University of Technology	;Doctoral College on Computational Perception of the Vienna University of Technology
National Science and Technology Development Agency	;National Science and Technology Development Agency
Nature Science Fund of China	;Nature Science Fund of China
TECH	;International Campus of Excellence Andalucia TECH
HTWG	;HTWG  University of Applied Sciences -Konstanz in Germany
WRA	;Water Resources Agency of Taiwan  WRA
INRETS	;French National Institute for Transport and Safety Research  INRETS
European Commission within the Sixth Framework Programme	;European Commission within the Sixth Framework Programme
ministry of education of Guangdong province	;ministry of education of Guangdong province
AOARD	;AOARD
GA CR Projects	;GA CR Projects
CEPETRO	;CEPETRO
Premier Scholarship Department of Mechanical Engineering University of Canterbury  UC  New Zealand	;Premier Scholarship Department of Mechanical Engineering University of Canterbury  UC  New Zealand
Faculty of Engineering and Computer Science of Concordia University	;Faculty of Engineering and Computer Science of Concordia University
CENPES-Petrobras	;CENPES-Petrobras
ETI	;DS Funds of ETI Faculty Gdansk University of Technology
Fundacao para a Ciencia e a Tecnologia	;Fundacao para a Ciencia e a Tecnologia
Department of Health	;Department of Health
Centro di Eccellenza - Tecnologie Scientifiche Applicate alla Ricerca Archeologica agli Studi Storico Artistici grant	;Centro di Eccellenza - Tecnologie Scientifiche Applicate alla Ricerca Archeologica agli Studi Storico Artistici grant
project Sociedades Humano-Agente en entornos Cloud Computing  Soha+C	;project Sociedades Humano-Agente en entornos Cloud Computing  Soha+C
YAYASAN	;YAYASAN FELDA
US Air Force Office of Scientific Research	;US Air Force Office of Scientific Research
MOEHRD	;Korean Government  MOEHRD Basic Research Promotion Fund
University Grant Commission New Delhi	;University Grant Commission New Delhi
B M S College of Engineering	;B M S College of Engineering
KFAS	;KFAS
MRI	;National Science Foundation MRI award
Russian Fond for Basic Research	;Russian Fond for Basic Research
Research Award of Ministry of Education of the People's Republic of China	;Research Award of Ministry of Education of the People's Republic of China
National Taiwan University	;National Taiwan University
National Institute of Astrophysics	;National Institute of Astrophysics
European Social Fund - Investing in People	;European Social Fund - Investing in People
973 Research Program	;973 Research Program
UIBE	;Program for Excellent Talents UIBE;Program for Innovative Research Team in UIBE
Ministry of Sciences of Serbia	;Ministry of Sciences of Serbia
Yorkshire Water Services Ltd  U  K	;Yorkshire Water Services Ltd  U  K
SDWA's Multi-objective Multiple Reservoir Management research program	;SDWA's Multi-objective Multiple Reservoir Management research program
ZJUT-CME	;Instruction Innovation Project of ZJUT-CME
University of California Transportation Center	;University of California Transportation Center
KHYS	;Karlsruhe House of Young Scientists  KHYS
Australian Government through the Department of Communications	;Australian Government through the Department of Communications
David and Lucile Packard Foundation	;David and Lucile Packard Foundation
ProVention Consortium of the World Bank	;ProVention Consortium of the World Bank
STILMAN	;STILMAN Advanced Strategies LLC under internal RD
Aerospace Area at University of Leon	;Aerospace Area at University of Leon
Kansas State University Electric Power Affiliate Program	;Kansas State University Electric Power Affiliate Program
CogVis team at the university of Leeds	;CogVis team at the university of Leeds
Ayers Foundation	;Ayers Foundation
Ministerio de Educacion of Spain	;Ministerio de Educacion of Spain
Tecnologico de Monterrey Campus Ciudad de Mexico	;Tecnologico de Monterrey Campus Ciudad de Mexico
National 863 plans projects of China	;National 863 plans projects of China
Ministry of National Education Romania	;Ministry of National Education Romania
AIF	;Alberta Ingenuity Fund  AIF
SOAR	;Canadian Space Agency under the Science and Operational Applications Research  SOAR  program
Catholic University of America	;Catholic University of America
Selcuk University	;Selcuk University
Okino Industries	;Okino Industries
Teknoloji Gelistirme	;Teknoloji Gelistirme
U S  National Science Foundation	;U S  National Science Foundation
Brazilian Research Council CNPq	;Brazilian Research Council CNPq
Netherlands Organisation for Scientific Research - Division for the Social Sciences  NWO-MaGW	;Netherlands Organisation for Scientific Research - Division for the Social Sciences  NWO-MaGW
Commonwealth Scholarship	;Commonwealth Scholarship
Collaborative Innovation Center of Novel Software Technology and Industrialization	;Collaborative Innovation Center of Novel Software Technology and Industrialization
GA UK	;GA UK
DHS	;DHS
Portuguese National Science Foundation	;Portuguese National Science Foundation
Arak University	;Arak University
STINT	;Swedish Foundation for International Cooperation in Research and Higher Education  STINT
Ministry of Education Youth and Sports of the Czech Republic	;Ministry of Education Youth and Sports of the Czech Republic
Spanish Agency of State Ports  Puertos del Estado	;Spanish Agency of State Ports  Puertos del Estado
Islamic Azad University Islamshahr Branch Tehran Iran	;Islamic Azad University Islamshahr Branch Tehran Iran
Scientific Research Project Unit of University of Gaziantep	;Scientific Research Project Unit of University of Gaziantep
Region Wallonne	;Region Wallonne
New Century Excellent Talents in University	;New Century Excellent Talents in University
Istituto Nazionale di Geofisica e Vulcanologia Sezione di Catania	;Istituto Nazionale di Geofisica e Vulcanologia Sezione di Catania
PGEEC	;Graduate Program in Electrical Engineering and Computer Science  PGEEC
U S  Naval Postgraduate School Integrated Distance Learning Foundation	;U S  Naval Postgraduate School Integrated Distance Learning Foundation
Graduate School of National University of Defense Technology	;Graduate School of National University of Defense Technology
MAUTC	;Mid- Atlantic Universities Transportation Center   MAUTC
Rhone-Alpes Region	;Rhone-Alpes Region
Council of Science and Technology of Castilla-La Mancha	;Council of Science and Technology of Castilla-La Mancha
Department of Homeland Security's Directorate for Science and Technology	;Department of Homeland Security's Directorate for Science and Technology
Vicerrectorado de Innovacion University of Alicante Spain	;Vicerrectorado de Innovacion University of Alicante Spain
National Science Council	;National Science Council
SEDEMA	;Mexican Ministry of Environment  SEDEMA
PTDC	;PTDC
project E-Fast GA	;project E-Fast GA
B  Macfie Family Foundation	;B  Macfie Family Foundation
MICYT	;MICYT;Spanish Inter-Ministerial Commission of Science and Technology  MICYT;Spanish Ministerial Commission of Science and Technology  MICYT
CONICET	;CONICET;CONICET  Argentina;CONICET Argentina;National Council for Scientific Research CONICET  Argentina
Higher Education	;Higher Education
CBMM	;Center for Brains Minds and Machines  CBMM  - National Science Foundation Science and Technology Center
Gachon University Research Fund	;Gachon University Research Fund
NSFC-Guangdong Joint Foundation Key Project	;NSFC-Guangdong Joint Foundation Key Project
Key Laboratory of Optimization Control and Engineering Calculation in Department of Guangxi Education	;Key Laboratory of Optimization Control and Engineering Calculation in Department of Guangxi Education
government of the Republic of Panama	;government of the Republic of Panama
Innovation Alzheimer association	;Innovation Alzheimer association
DoD Air Force Office of Scientific Research	;DoD Air Force Office of Scientific Research
European Social	;European Social
AHCPR	;Agency on Health Care Policy and Research  AHCPR
Israeli Science Foundation	;Israeli Science Foundation
TEKES	;Finnish Funding Agency for Technology and Innovation  TEKES;Technology Development Centre  TEKES Finland
CHTE	;CHTE
China State Key Laboratory for Alternate Electrical Power Systems with Renewable Energy Sources	;China State Key Laboratory for Alternate Electrical Power Systems with Renewable Energy Sources
Higher Education Commission of Pakistan	;Higher Education Commission of Pakistan
SEP	;Public Education Secretary  SEP  through PROMEP
China Hubei Provincial Science and Technology Department	;China Hubei Provincial Science and Technology Department
RPSEA	;Research Partnership to Secure Energy for America  RPSEA
national research	;national research
Hertie-Stiftung	;Hertie-Stiftung
Ministry of Health/UnA-SUS	;Ministry of Health/UnA-SUS
FONDECYT	;FONDECYT
German federal ministries	;German federal ministries
Postgraduate School of Southwest University	;Postgraduate School of Southwest University
Gobierno de Aragon	;Gobierno de Aragon
MSTAR	;MSTAR Project
Chinese National Basic Research Priority Program	;Chinese National Basic Research Priority Program
Akdeniz University Research Foundation	;Akdeniz University Research Foundation
ROC	;National Science Council Taiwan ROC;National Science Council Taiwan  ROC;National Science Council Taiwan ROC;Republic of China  ROC  National Science Council;Water Resources Planning Institute Water Resources Agency Taiwan ROC
Sunesis	;Sunesis
FAU	;FAU Emerging Fields Initiative  EFIMoves
Japan Society for the Promotion of Science	;Japan Society for the Promotion of Science
Ford Motor Company	;Ford Motor Company
Dunarea de Jos University of Galati Romania	;Dunarea de Jos University of Galati Romania
MFMSuite	;MFMSuite
Foundation of Xiamen Science and Technology Bureau	;Foundation of Xiamen Science and Technology Bureau
University of Ulster UK	;University of Ulster UK
