111 Project	111 Project;
Air Force Research Laboratory	Air Force Research Laboratory Information Directorate Office of Naval Research Grant;Air Force Research Laboratory;
Colombian Association for Earthquake Engineering AIS	Colombian Association for Earthquake Engineering AIS;
Applied Information Systems Research Program  AISRP  of NASA Science Dierectorate	Applied Information Systems Research Program  AISRP  of NASA Science Dierectorate;
AITF	AITF;
Akdeniz University Hospital	Akdeniz University Hospital;
Akdeniz University Research Foundation	Akdeniz University Research Foundation;
Alan Turing Institute	Alan Turing Institute;
Al-Balqa Applied University in Jordan	Al-Balqa Applied University in Jordan;
Alberta Cancer Board	Alberta Cancer Board;
Alberta Cancer Foundation	Alberta Cancer Foundation;
Alberta Ingenuity Centre for Machine Learning	Alberta Ingenuity Centre for Machine Learning;
Alexander S  Onassis Public Benefit Foundation	Alexander S  Onassis Public Benefit Foundation;
Alexander v  Humboldt Foundation	Alexander v  Humboldt Foundation;
Alexander von Humboldt Foundation	Alexander von Humboldt Foundation Bonn Germany;Alexander von Humboldt Foundation Bonn FR Germany;Alexander von Humboldt Foundation  Humboldt Research Fellowship Program for experienced researchers   Germany;Alexander von Humboldt Foundation  Germany;Alexander von Humboldt Foundation;
aLFanet	aLFanet;
Alfred P  Sloan Foundation	Alfred P  Sloan Foundation;
ALMA-CONICYT fund	ALMA-CONICYT fund;
AMANDE project of the French National Research Agency	AMANDE project of the French National Research Agency;
Amazon Web Services	Amazon Web Services;
American Heart Association	American Heart Association;
American Society for Gastrointestinal Endoscopy Covidien Senior Mentoring Award	American Society for Gastrointestinal Endoscopy Covidien Senior Mentoring Award;
American University of Beirut University Research Board	American University of Beirut University Research Board Dar Al-Handassah  Shair & Partners  Research Fund;American University of Beirut University Research Board;
American University of Sharjah	American University of Sharjah;
Amgen	Amgen;
Research AMP	Research AMP;
Analog Devices  Collaborative industrial RD grant	Analog Devices  Collaborative industrial RD grant;
analysis and test centre of Huazhong University of Science and Technology	analysis and test centre of Huazhong University of Science and Technology;
Partnership in priority areas-PN-II program - ANCS CNDI - UEFISCDI project	Partnership in priority areas-PN-II program - ANCS CNDI - UEFISCDI project;National Authority for Scientific Research  MEdC ANCS;
Andalusian Autonomous Government	Andalusian Autonomous Government  Junta de Andalucia;Andalusian Autonomous Government;
Andalusian Regional Government	Andalusian Regional Government;
Andalusian Regional Ministry	Andalusian Regional Ministry;
Andrew W  Mellon Foundation	Andrew W  Mellon Foundation;
ANFIS	ANFIS;
Anglian Water	Anglian Water;
Anhui Province key Laboratory of software in computing and communication	Anhui Province key Laboratory of software in computing and communication;
National Agency for Promotion of Science and Technology  ANPCYT	National Agency for Promotion of Science and Technology  ANPCYT;
French national research agency  ANR DAG project	French national research agency  ANR DAG project;ANR young researchers grant  Creadapt;ANR UNLOC;ANR LARDONS project;ANR Blanc Micrac;ANR;Agence Nationale de la Recherche  ANR;
AOARD	AOARD;
Appalachian Rural Health Institute Diabetes Research Initiative	Appalachian Rural Health Institute Diabetes Research Initiative;
Slovak Grant Agency APVV	Slovak Grant Agency APVV;
Arab Republic of Egypt	Arab Republic of Egypt;
Arak University	Arak University;
Australian Research Council through ARC Linkage Project	Australian Research Council through ARC Linkage Project;Australian Research Council grants  ARC Laureate;Australian Research Council grants  ARC DECRA;Australian Research Council  ARC;Australia Research Council  ARC;ARC Future Fellowship;ARC Discovery Grant;ARC;Action de Recherche Concertee  ARC;
Australian Research Council grants  ARC-CEED	Australian Research Council grants  ARC-CEED;
Archaeometric expert system for the intelligent fight against the trafficking of cultural and historical heritage	Archaeometric expert system for the intelligent fight against the trafficking of cultural and historical heritage;
Architecture and Building Research Institute  Taiwan	Architecture and Building Research Institute  Taiwan;
ARDA and the National Geospatial-Intelligence Agency  NGA	ARDA and the National Geospatial-Intelligence Agency  NGA;
Aeronautics Research and Development Board  ARDB  Government of India	Aeronautics Research and Development Board  ARDB  Government of India;
Area Metropolitana del Valle de Aburra	Area Metropolitana del Valle de Aburra;
ARENA Australian Renewable Energy Agency	ARENA Australian Renewable Energy Agency;
ARES	ARIAD;ARES;
ARINF	ARINF;
Arizona Department of Environmental Quality  Air Quality Division and Director's Special Initiative on Children's Health	Arizona Department of Environmental Quality  Air Quality Division and Director's Special Initiative on Children's Health;
Army Research Office	ARO through DARPA;ARO grants;Army Research Office  ARO;Army Research Office;
Slovenian Research Agency  ARRS	Slovenian Research Agency  ARRS;
ARTEMIS Arrowhead Project	ARTEMIS Arrowhead Project;ARTEMIS;
Artificial Intelligence and Computer Science Laboratory of the University of Porto	Artificial Intelligence and Computer Science Laboratory of the University of Porto;
Artificial Intelligence in Alternative Conflict Resolution	Artificial Intelligence in Alternative Conflict Resolution;
Artificial Intelligence Research Promotion Foundation	Artificial Intelligence Research Promotion Foundation;
Artificial Intelligence Research Unit  AiRU	Artificial Intelligence Research Unit  AiRU;
Ash Stevens Inc	Ash Stevens Inc;
Asian Office of Aerospace Research and Development	Asian Office of Aerospace Research and Development;
ASPIC	ASPIC;
Association for Forests Development and Conservation	Association for Forests Development and Conservation;
Association of Computing Machinery Special Interest Group on Computer Science Education	Association of Computing Machinery Special Interest Group on Computer Science Education;
Assumption University	Assumption University;
Astellas	Astellas;
AstraZeneca	AstraZeneca;
Astronomy Department of Villanova University	Astronomy Department of Villanova University;
Atlantic Innovation Fund	Atlantic Innovation Fund;
Junta de Comunidades de Castilla-La Mancha within the AULA-T project	Junta de Comunidades de Castilla-La Mancha within the AULA-T project;
Ahsanullah University of Science and Technology  AUST	Australia Research Council;Ahsanullah University of Science and Technology  AUST;
Australian Centre of Excellence for Mathematics and Statistics of Complex Systems	Australian Centre of Excellence for Mathematics and Statistics of Complex Systems;
Australian Centre of Excellence for Risk Analysis	Australian Centre of Excellence for Risk Analysis;
Australian Government	Australian Government's National Environmental Research Program;Australian Governments Department of Broadband Communications and the Digital Economy;Australian Government's Cooperative Research Centre Programme;Australian Government's Cooperative Research Centre Program;Australian Government through the Department of Communications;Australian Government as represented by the Department of Broadband Communications and the Digital Economy and the Australian Research Council;Australian Government;
Australian Postgraduate Award	Australian Research Council;Australian Postgraduate Award;
Australian Research Council Center for Complex Systems	Australian Research Council Center for Complex Systems;
Australian Research Council under Discovery	Australian Research Council under Discovery;
Australian Research Council under the Discovery	Australian Research Council under the Discovery;
Australian Research Council's Centres of Excellence	Australian Research Council's Centres of Excellence;
Australian Research Council's Discovery Projects funding scheme	Australian Research Council's Discovery Projects funding scheme;
Austrian Federal Ministry for Education Science and Culture	Austrian Federal Ministry for Education Science and Culture;
Austrian Federal Ministry of Transport Innovation and Technology	Austrian Federal Ministry of Transport Innovation and Technology;
Austrian Science Fund through FoQuS Project Grant	Austrian Science Fund through FoQuS Project Grant;
Amirkabir University of Technology  AUT  research fund	authorities of the Tarbiat Modares University;AUT SRIF;Amirkabir University of Technology  AUT  research fund;
Autonomous Government of La Rioja	Autonomous Government of La Rioja;
Auxiliary Researcher contract from Program  Ciencia	Auxiliary Researcher contract from Program  Ciencia;
Ministry of Industry Tourism and Trade  Spain  AVANZA PLAN-Digital Citizen Subprogram  PT  NEUROLEARNING Grant	Spanish Ministerio de Industria Turismo y Comercio under the  AVANZA;Ministry of Industry Tourism and Trade  Spain  AVANZA PLAN-Digital Citizen Subprogram  PT  NEUROLEARNING Grant;
Ayers Foundation	Ayers Foundation;
Azabu University	Azabu University;
B  Macfie Family Foundation	B  Macfie Family Foundation;
B M S College of Engineering	B M S College of Engineering;
BAE Systems Surface Ships Ltd Portsmouth	BAE Systems Surface Ships Ltd Portsmouth;BAE Systems plc;BAE Systems  UK;BAE Systems;
Baidu Fellowship	Baidu Fellowship;
Balikesir University	Balikesir University;
EU Future and Emerging Technologies BAMBI project	EU Future and Emerging Technologies BAMBI project;
Banco Sabadell Foundation	Banco Sabadell Foundation;
BAP Office  Scientific Research Projects Coordination Unit  of Selcuk University	Scientific Research Projects  BAP  of Selcuk University  in Turkey;BAP programme of Istanbul Technical University;BAP Office  Scientific Research Projects Coordination Unit  of Selcuk University;
Basic Science Research Program	Basic Science Research Program;
Biotechnology and Biological Sciences Research Council  BBSRC  of the UK	UK Biotechnology and Biological Sciences Research Council  BBSRC;Biotechnology and Biological Sciences Research Council  BBSRC  of the UK;
Beiijng University of Chinese Medicine	Beiijng University of Chinese Medicine;
Beijing Education Committee Fund	Beijing Education Committee Fund;
Beijing Municipal commission of Education	Beijing Municipal commission of Education;
Beijing Municipal Education Commission	Beijing Municipal Education Commission Science Technology Fund;Beijing Municipal Education Commission;
Beijing Municipal Natural Science Foundation	Beijing Municipal Natural Science Foundation;
Beijing Natural Science Foundation	Beijing Natural Science Foundation;
Beijing Postdoctoral Research Foundation - China	Beijing Postdoctoral Research Foundation - China;
Beijing Project of Science and Technology Plan	Beijing Project of Science and Technology Plan;
Beijing Science and Technology Program	Beijing Science and Technology Program;
China BEJING Education Committee	China BEJING Education Committee;
Belgian Politique Scientifique Federale	Belgian Politique Scientifique Federale;
Belgian Scientific Policy Office  BelSPO	Belgian Scientific Policy Office  BelSPO;
Belgian State Science Policy Office	Belgian State Science Policy Office;
Bell Labs	Bell Labs;
Benchmark Stanford Graduate Fellowship	Benchmark Stanford Graduate Fellowship;
Bernstein group for computational neuroscience	Bernstein group for computational neuroscience;
BioMed-IT Energy-IT and Smart-IT Technology  BEST	BioMed-IT Energy-IT and Smart-IT Technology  BEST;
BHP Billion Co  Australia	BHP Billion Co  Australia;
bilateral program of scientific and technological cooperation	bilateral program of scientific and technological cooperation;
bilateral project  Temporal logics in computer and information sciences	bilateral project  Temporal logics in computer and information sciences;
BioDat research group	BioDat research group;
Biohousing Research Center	Biohousing Research Center;
Biomedical Engineering Department Science and Research Branch Islamic Azad University Tehran Iran	Biomedical Engineering Department Science and Research Branch Islamic Azad University Tehran Iran;
Biometric Task Force	Biometric Task Force;
National Research Agency  Agence National pour la Recherche   BIOTECHNOLOGIES  program	National Research Agency  Agence National pour la Recherche   BIOTECHNOLOGIES  program;
Programa de Bolsa de Incentivo ao Pesquisador  BIP  of Universidade Estadual de Goias/Pro Reitoria de Pesquisa - Goias - Brazil	Programa de Bolsa de Incentivo ao Pesquisador  BIP  of Universidade Estadual de Goias/Pro Reitoria de Pesquisa - Goias - Brazil;
Funds of Beijing Advanced Innovation Center for Future Internet Technology of Beijing University of Technology  BJUT  P  R  China	Funds of Beijing Advanced Innovation Center for Future Internet Technology of Beijing University of Technology  BJUT  P  R  China;
BK 21 Plus  Big Data in Manufacturing and Logistics Systems Korea University	BK 21 Plus  Big Data in Manufacturing and Logistics Systems Korea University;
Blizzard Entertainment	Blizzard Entertainment Inc;Blizzard Entertainment;
German Ministry for Education and Research   Bundesministerium fur Bildung und Forschung BMBF	BMS;TREAT20plus through the German Federal Ministry for Research  BMBF;German Ministry for Education and Research  BMBF;German Ministry for Education and Research   Bundesministerium fur Bildung und Forschung BMBF;German Federal Ministry of Education and Research  BMBF;Federal Ministry for Education and Research  BMBF;BMBF;
research initiative  Zukunft Bau  of the German Federal Ministry for Transport Building and Urban Development  BMVBS	research initiative  Zukunft Bau  of the German Federal Ministry for Transport Building and Urban Development  BMVBS;
BMWFJ Austria	BMWFJ Austria;
German Ministry of Economics  BMWI	German Ministry of Economics  BMWI;
Boeing Corporation	Boeing Corporation;
Boeing Research Technology	Boeing Research Technology;
Bogazici University	Bogazici University;
Bourgogne regional council  Regional French administration	Bourgogne regional council  Regional French administration;
Bournemouth University	Bournemouth University;
BP America Inc	BP America Inc;
BPI-France	BPI-France;
BRAIN	Brain Korea 21 project;Brain Korea 21 plus program Yonsei University;BRAIN;
Brazilian agency CNPq	Brazilian agency CNPq;
Brazilian Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNPq	Brazilian Conselho Nacional de Desenvolvimento Cientifico e Tecnologico  CNPq;
Brazilian Council for Scientific and Technological Development  CNPq	Brazilian Council for Scientific and Technological Development  CNPq;
Brazilian Electricity Regulatory Agency	Brazilian Electricity Regulatory Agency;
Brazilian Law	Brazilian Law;
Brazilian National Council for Scientific and Technological Development	Brazilian National Council for Scientific and Technological Development;
Brazilian National Research Centers CNPq	Brazilian National Research Centers CNPq;
Brazilian National Research Council	Brazilian National Research Council  CNPq;Brazilian National Research Council;
Brazilian Research Council CNPq	Brazilian Research Council CNPq  Conselho Nacional de Desenvolvimento Cientifico e Tecnologico;Brazilian Research Council CNPq;
Brazilian Research Council Fapesp  Fundacao de Amparo a Pesquisa do Estado de Sao Paulo	Brazilian Research Council Fapesp  Fundacao de Amparo a Pesquisa do Estado de Sao Paulo;
Brazilian Research Councils CNPq	Brazilian Research Councils CNPq;
Brazilian Scientific and Technological Development Council  CNPq	BrazilianResearchCouncil  CNPq;Brazilian Scientific and Technological Development Council  CNPq;
Breast Cancer Research Foundation	Breast Cancer Research Foundation;
Bretagne Regional Council	Bretagne Regional Council;
BRIER	BRIER;
Bristol Centre for Complexity Sciences	Bristol Centre for Complexity Sciences;
Bristol-Myers Squibb	Bristol-Myers Squibb;
British Academy	British Academy;
British Council United Kingdom	British Council United Kingdom;
British Heart Foundation	British Heart Foundation;
British Telecom	British Telecom;
Broadcom Corporation	Broadcom Corporation;
Fundamental Research Funds for the Central Universities in BUCT	Fundamental Research Funds for the Central Universities in BUCT;
Building-facade Maintenance Robot Research Center	Building-facade Maintenance Robot Research Center;
Bulgarian Ministry of Education and Science	Bulgarian Ministry of Education and Science;
Bulgarian National Science Fund	Bulgarian National Science Fund;
BZG	BZG;
CAAS Agricultural Science and Technology Innovation Program	CAAS Agricultural Science and Technology Innovation Program;
Callaghan Innovation Education Fellowship	Callaghan Innovation Education Fellowship;
Calouste Gulbenkian Foundation	Calouste Gulbenkian Foundation at Ryerson University;Calouste Gulbenkian Foundation;
Caltech Center for the Mathematics of Information	Caltech Center for the Mathematics of Information;
CAM project SEGVAUTO-II	CAM project SEGVAUTO-II;
Cambridge Overseas Trust	Cambridge Overseas Trust;
Canada and Communications and Information Technology Ontario	Canada and Communications and Information Technology Ontario;
Canada Foundation for Innovation	Canada Research Chairs Program;Canada Research Chairs;Canada Research Chair Program;Canada Research Chair in Artificial Intelligence;Canada Research Chair;Canada Foundation for Innovation;
Canadian Institutes of Health Research	Canadian Institutes of Health Research Strategic Training Initiative in Health Research Fellowship in Health Care Technology and Place;Canadian Institutes of Health Research Institute of Aging Pilot Project Grant Program;Canadian Institutes of Health Research;
Canadian National and the Center	Canadian National and the Center;
Canadian National Defence	Canadian National Defence;
Canadian Natural Sciences and Engineering Research Council	Canadian Natural Sciences and Engineering Research Council;
Cancer Institute of the University of Salamanca	Cancer Institute of the University of Salamanca;
Cancer Prevention and Research Institute of Texas	Cancer Prevention and Research Institute of Texas;
Brazilian Federal Agency for Support and Evaluation of Graduate Education  CAPES	Higher Education Personnel  CAPES;Coordination for the Improvement of People with Higher Education  CAPES;Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior CAPES;Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior  CAPES;CAPES Brazil;CAPES Foundation Ministry of Education of Brazil Brasilia - DF Brazil;CAPES Brazil;CAPES  Brazilian Agency;CAPES  Brazil;CAPES - Coordination for the Improvement of Higher Level Personnel;CAPES - Brazil;CAPES;Brazilian Research Councils CAPES;Brazilian Foundations CAPES;Brazilian Federal Agency for Support and Evaluation of Graduate Education  CAPES;
CAPES/MEC  Brazilian Ministry of Education	CAPES/MEC  Brazilian Ministry of Education;
Care Apparel Centre Institute of Textiles and Clothing The Hong Kong Polytechnic University	Care Apparel Centre Institute of Textiles and Clothing The Hong Kong Polytechnic University;
National Science Foundation CAREER Award Project 'Reliability as an Emergent Property of Transportation Networks'	National Science Foundation under CAREER Award;National Science Foundation through Faculty Early Career Development  CAREER  award;National Science Foundation CAREER Award Project 'Reliability as an Emergent Property of Transportation Networks';
Carnegie Trust	Carnegie Trust;
Carol M  Baldwin Breast Cancer Research Award	Carol M  Baldwin Breast Cancer Research Award;
project CARTAM-SAT  CARtographie du Territoire AMazonien  des Satellites aux AcTeurs - Dynamic mapping of Amazonian Territories  from Satellites to Actors	project CARTAM-SAT  CARtographie du Territoire AMazonien  des Satellites aux AcTeurs - Dynamic mapping of Amazonian Territories  from Satellites to Actors;
Key Laboratory of Land Surface Process and Climate Change in Cold and Arid Regions CAS	Key Laboratory of Land Surface Process and Climate Change in Cold and Arid Regions CAS;
Castilla La Mancha Government	Castilla La Mancha Government;
CATAI	CATAI;
Catalan Government	Catalan Government;
Catholic University of America	Center for Brains Minds and Machines  CBMM  - National Science Foundation Science and Technology Center;Center for Behavioral and Brain Sciences  CBBS;Catholic University of America;
Swedish Research Council through the Swedish Linnaeus project Cognition Communication and Learning  CCL	Swedish Research Council through the Swedish Linnaeus project Cognition Communication and Learning  CCL;
Centre for Development and Advanced Computing C-DAC	Centre for Development and Advanced Computing C-DAC;
Machinery & Industrial Equipment Design Centre  CDEI  Barcelona Spain	Machinery & Industrial Equipment Design Centre  CDEI  Barcelona Spain;
CDTI Ministerio de Industria Turismo y Comercio of Spain	CDTI Ministerio de Industria Turismo y Comercio of Spain;CDTI  Spanish Ministry of Research;CDTI;
National CEEPUS Office of Croatia	National CEEPUS Office Serbia;National CEEPUS Office of Croatia;
Cemagref and Basse-Normandie Regional Council	Cemagref and Basse-Normandie Regional Council;
Open Project Foundation of CEMEE State Key Laboratory	Open Project Foundation of CEMEE State Key Laboratory;
Center for Excellence in Mining Innovation  CEMI  in Sudbury Ontario	CEN;Center for Excellence in Mining Innovation  CEMI  in Sudbury Ontario;
CENPES-Petrobras	CENPES-Petrobras;
Center for Fundamental Living Technology  FLinT	Center for Fundamental Living Technology  FLinT;
Center for Global Leadership	Center for Global Leadership;
Center for Research Resources	Center for Research Resources;
Center for the Management of Systemic Risk at Columbia University	Center for the Management of Systemic Risk at Columbia University;
Center for the Study of Language and Information at Stanford University	Center for the Study of Language and Information at Stanford University;
Center of Excellence in Oceans	Center of Excellence in Oceans;
Center of Informatics of Federal University of Pernambuco - CIn/UFPE - Brazil	Center of Informatics of Federal University of Pernambuco - CIn/UFPE - Brazil;
Central Research Grant of Hong Kong Polytechnic University	Central Research Grant of Hong Kong Polytechnic University;
Centre for Applied Cybernetics	Centre for Applied Cybernetics;
Centre for Ionic Liquids  UMCiL  University of Malaya	Centre for Ionic Liquids  UMCiL  University of Malaya;
Centre for Research and Development under the Norwegian Financial Mechanism	Centre for Research and Development under the Norwegian Financial Mechanism;
Centre Hospitalier Universitaire de Toulouse Toulouse France	Centre Hospitalier Universitaire de Toulouse Toulouse France;
Centre National de la Recherche Scientifique	Centre National de la Recherche Scientifique;
Centro di Eccellenza - Tecnologie Scientifiche Applicate alla Ricerca Archeologica agli Studi Storico Artistici grant	Centro di Eccellenza - Tecnologie Scientifiche Applicate alla Ricerca Archeologica agli Studi Storico Artistici grant;
CEPETRO	CEPETRO;
Cergy-Pontoise l'agglomeration	Cergy-Pontoise l'agglomeration;
CETVI	CETVI;
C-FAR one of the six SRC STARnet Centers - MARCO	Canada Foundation for Innovation  CFI;C-FAR one of the six SRC STARnet Centers - MARCO;
CGS	Chemical Engineering Center of Excellence at Tarbiat Modares University;CGS;
Chemical Engineering Department of the Federal University of Santa Catarina	Chemical Engineering Department of the Federal University of Santa Catarina;
China 863 HighTech Program	China 973 Program;China 863 HighTech Program;
China Building Material Test and Certification Center	China Building Material Test and Certification Center;
China Fundamental Research Funds for the Central Universities	China Fundamental Research Funds for the Central Universities;
China Hubei Provincial Science and Technology Department	China Key Basic Research Program  973 Program;China Hubei Provincial Science and Technology Department;
China Scholarship Council	China Scholarship Council;
China State Key Laboratory for Alternate Electrical Power Systems with Renewable Energy Sources	China State Key Laboratory for Alternate Electrical Power Systems with Renewable Energy Sources;
China university of geosciences  Beijing	China university of geosciences  Beijing;
China-Japan Friendship Hospital	Chinese 111 project on Nuclear Safety and Simulation;China-Japan Friendship Hospital;
Chinese Academy of Sciences	Chinese Academy of Sciences Pioneer Hundred Talents Program;Chinese Academy of Sciences;
Chinese National Basic Research Priority Program	Chinese National Basic Research Priority Program;
Chinese National Engineering Laboratory for Information Content Analysis Technology	Chinese National Engineering Laboratory for Information Content Analysis Technology;
CHIRON	CHIRON;
Chongqing Natural Science Foundation	Chongqing Natural Science Foundation;
Chongqing University of science and technology	Chongqing University of science and technology;
Chosun University	Chosun University;
Christian Doppler Forschungsgesellschaft	Christian Doppler Forschungsgesellschaft;
CHRON  Cognitive Heterogeneous Reconfigurable Optical Network  project	CHTE;CHRON  Cognitive Heterogeneous Reconfigurable Optical Network  project;
Biology Research Centre of Sonora  CIB	Biology Research Centre of Sonora  CIB;
Ciba Specialty Chemicals Switzerland	Ciba Specialty Chemicals Switzerland;
CiCYT	Spanish Government through the CICYT;Spanish Government through CICYT;Spanish CICYT;Ministry of Science and Technology of Spain through CICYT Project;CICYT Spanish Committee;CICYT  Spain;CiCYT;
Spanish Ministry of Economy and Competitiveness at the Research Centre for Energy Environment and Technology  CIEMAT	Spanish Ministry of Economy and Competitiveness at the Research Centre for Energy Environment and Technology  CIEMAT;
CIFAR	CIFAR;
Center for Integrated Facility Engineering  CIFE  at Stanford University	Center for Integrated Facility Engineering  CIFE  at Stanford University;
Canadian Institutes for Health Research  CIHR  through a Science Policy Fellowship	CIHR;Canadian Institutes for Health Research  CIHR  through a Science Policy Fellowship;Canadian Institutes for Health Research  CIHR;
CINVESTAV-IPN	CINVESTAV-IPN;
National Science Foundation under CISE Research Infrastructure	National Science Foundation under CISE Research Infrastructure;
National Science Foundation CISE-RR program	National Science Foundation CISE-RR program;
Centre for Intelligent Systems Research  CISR  at Deakin University	Centre for Intelligent Systems Research  CISR  at Deakin University;
Innovation and Technologies  CIT	Innovation and Technologies  CIT;
Center for Research of Information and Communication Technologies  CITIC	Center for Research of Information and Communication Technologies  CITIC;
CITOPSY	CITOPSY;
City of Montreal  Quebec Canada	City of Montreal  Quebec Canada;
City University of Hong Kong	City University of Hong Kong;
Civil Aviation Authority and Bristow Helicopters	Civil Aviation University of China research fund;Civil Aviation Authority and Bristow Helicopters;
Clamping fixtures in intelligent production systems	Clamping fixtures in intelligent production systems;
ClearView Diagnostics Inc	ClearView Diagnostics Inc;
Clinical Research Priority Program  NeuroRehab  University of Zurich	Clinical Research Priority Program  NeuroRehab  University of Zurich;
cloud group at the School of Computer Science of the University of St Andrews	cloud group at the School of Computer Science of the University of St Andrews;
Cluster of Excellence for Multi-Modal Computing and Interaction	Cluster of Excellence for Multi-Modal Computing and Interaction;
cluster projects in the Engineering Research Institute College of Engineering of Seoul National University	cluster projects in the Engineering Research Institute College of Engineering of Seoul National University;
Center for Mathematical Modeling  CMM  Valpara so Center for Science and Technology  CCTVAL	Center for Mathematical Modeling  CMM  Valpara so Center for Science and Technology  CCTVAL;
National Science Foundation through award CMMI	National Science Foundation through award CMMI;
Romanian National Authority for Scientific Research CNCS - UEFISCDI	Romanian National Authority for Scientific Research CNCS - UEFISCDI;
CNCSIS - UEFISCDI  Romanian National University Research Council	CNCSIS PNCDI2 grant;CNCSIS - UEFISCDI PNII - IDEI Grant;CNCSIS - UEFISCDI  Romanian National University Research Council;CNCSIS;
CNCSIS-UEFISCSU	Romanian National Authority for Scientific Research CNCS-UEFISCDI;CNCS-UEFISCDI;CNCSIS-UEFISCSU;
project CNEPRU	project CNEPRU;
CNMP	CNMP;
